ibuprofen	shorter-acting agent	1	medication	1000
maize	unmalted cereal	1	crop	2449
barley	unmalted cereal	1	crop	1069
toy	content information	1	small dog breed	1974
name	content information	1	personal datum	1774
address	content information	1	personal datum	1249
vitamin	natural goodie	1	nutrient	1395
smartphone	e reader device	1	mobile device	3700
cotton	pigment	1	fabric	1046
maize	pigment	1	crop	2449
cotton	pigment	1	crop	1998
turmeric	pigment	1	spice	1056
age	salient attribute	1	demographic factor	2541
age	salient attribute	1	demographic information	2433
gold	therapeutic agent	1	noble metal	1116
gold	therapeutic agent	1	preciou metal	2320
cat	therapeutic agent	1	pet	1939
sage	therapeutic agent	1	herb	1110
turmeric	therapeutic agent	1	spice	1056
directory	meta information	1	secondary source	1148
mobile phone	complex invention	1	mobile device	1009
birthday	compound word	1	occasion	2879
grasshopper	compound word	1	insect	1042
oil	unhealthy ingredient	1	fossil fuel	2811
coal	high emission industry	1	fossil fuel	3813
oil	high emission industry	1	fossil fuel	2811
parsley	natural botanical extract	1	herb	1435
rosemary	natural botanical extract	1	herb	1974
oil	wives tale	1	fossil fuel	2811
christmas	seasonal requirement	1	occasion	1053
phosphorus	dna	1	nutrient	2326
magnesium	alternate product	1	nutrient	1211
zinc	alternate product	1	nutrient	1126
name	word answer	1	personal datum	1774
age	consideration different factor	1	demographic factor	2541
age	consideration different factor	1	demographic information	2433
tablet	dry preparation	1	mobile device	2895
toy	special-purpose device	1	small dog breed	1974
smart phone	payment method	1	mobile device	1894
mobile phone	payment method	1	mobile device	1009
facebook	payment method	1	social medium outlet	1024
gas	payment method	1	utility	1596
filler	tablet excipients	1	additive	1892
barley	combinable crop	1	crop	1069
router	carpentry tool	1	network device	1163
air	severe accident	1	fluid	1128
gender	varible	1	demographic factor	1507
age	varible	1	demographic factor	2541
gender	varible	1	demographic information	1785
age	varible	1	demographic information	2433
cotton	everyday word	1	fabric	1046
cotton	everyday word	1	crop	1998
air	resistance factor	1	fluid	1128
gender	patients demographic and clinical datum	1	demographic factor	1507
